"metric","lambda_d","lambda_u","method","mean","sd","mcse","q2.5","q97.5","n"
"rmse",2,1,"deepAFT-Pooled-T",1.57866386837077,1.39929645766693,0.0446988857145415,0.89744725701086,4.16620547432687,980
"rmse",2,2,"Fusion",0.682561196919139,0.0874141564152082,0.00276427834014277,0.528158914480466,0.866305773516464,1000
"rmse",2,2,"deepAFT-RCT-S",1.12600140702314,0.0855196354684424,0.00270436832747599,0.966875904403728,1.30007132998982,1000
"rmse",2,2,"deepAFT-RCT-T",1.49799083405047,0.507901256159885,0.0160692846112298,0.985504840285093,2.98334398168853,999
"rmse",2,2,"deepAFT-Pooled-S",1.1670446486133,0.19701148952001,0.00623005032105625,0.992105484896029,1.32223437539316,1000
"rmse",2,2,"deepAFT-Pooled-T",1.63962335294211,1.48361160945638,0.0470809913440158,0.913965772016743,3.565473213341,993
"bias",0,0,"Fusion",-0.00956408965113523,0.208137765935728,0.00658189407455906,-0.420977913993368,0.380114271228044,1000
"bias",0,0,"deepAFT-RCT-S",-0.147069000481714,0.246221737039297,0.00778621498487222,-0.520915749657622,0.18106562863919,1000
"bias",0,0,"deepAFT-RCT-T",-0.171163565445576,0.936113346651786,0.0296321502161499,-0.78769456722949,0.424967423501813,998
"bias",0,0,"deepAFT-Pooled-S",-0.139503732927442,0.219758760836806,0.00694938220020518,-0.417669688800744,0.101144247213354,1000
"bias",0,0,"deepAFT-Pooled-T",0.0519032549245352,1.37733486783297,0.0437084008893784,-0.53372651307649,1.07054663362532,993
"bias",0,1,"Fusion",-0.0310738710691131,0.207944830806613,0.00657579293007247,-0.423598944606442,0.367652677258276,1000
"bias",0,1,"deepAFT-RCT-S",-0.160203356604544,0.186095205889158,0.00588484712247719,-0.545533458020287,0.159739471483932,1000
"bias",0,1,"deepAFT-RCT-T",-0.237114906790934,0.38718841968538,0.0122562352679912,-0.811956092540989,0.314908647399204,998
"bias",0,1,"deepAFT-Pooled-S",0.0840017483117107,0.218269344769265,0.00690228272863438,-0.146391673076854,0.3675025238184,1000
"bias",0,1,"deepAFT-Pooled-T",0.144532391145895,1.19340977478756,0.0378526595308687,-0.394034752376427,1.09892962321497,994
"bias",0,2,"Fusion",-0.0277408314197071,0.207840303577329,0.006572487488852,-0.432484942375864,0.37216701531339,1000
"bias",0,2,"deepAFT-RCT-S",-0.169512833087924,0.18730415124539,0.00592307733140098,-0.527798275712122,0.159328102488631,1000
"bias",0,2,"deepAFT-RCT-T",-0.264889912669124,0.30174492328869,0.00954201229985045,-0.907865864917275,0.325096877438817,1000
"bias",0,2,"deepAFT-Pooled-S",0.319166759318015,0.29604004959577,0.00936160835351843,-0.0423734326951836,0.656531640092382,1000
"bias",0,2,"deepAFT-Pooled-T",0.239841068784147,1.12266649519413,0.0355373869491527,-0.338328035525031,1.50087308880015,998
"bias",1,0,"Fusion",-0.0316067729834481,0.204097248124212,0.00645412168245038,-0.43607797560426,0.357759334765157,1000
"bias",1,0,"deepAFT-RCT-S",-0.17424434493537,0.272304901212653,0.00861103705859131,-0.586613701471387,0.183142981889518,1000
"bias",1,0,"deepAFT-RCT-T",-0.244874955402309,0.924302530932614,0.029272954861911,-0.850747300942953,0.334567975394816,997
"bias",1,0,"deepAFT-Pooled-S",-0.129304868983993,0.211196282065956,0.00667861284687793,-0.410712773583108,0.115756842509582,1000
"bias",1,0,"deepAFT-Pooled-T",0.0346522585361447,1.08989458042407,0.0345693569374988,-0.512687375323659,0.91051408006368,994
"bias",1,1,"Fusion",-0.0255251319391673,0.208257547900639,0.00658568191287637,-0.445486446572562,0.372872104026875,1000
"bias",1,1,"deepAFT-RCT-S",-0.165885656478572,0.197652205391178,0.00625031153591533,-0.555599611429788,0.147997767562838,1000
"bias",1,1,"deepAFT-RCT-T",-0.249210973471713,0.47230919585617,0.0149357281874806,-0.865940250258632,0.304362421490615,1000
"bias",1,1,"deepAFT-Pooled-S",0.0943855650275349,0.197467250331435,0.00624446274337974,-0.154622864340411,0.388877984280483,1000
"bias",1,1,"deepAFT-Pooled-T",0.156445739802319,1.53512098547971,0.0486421697993763,-0.466130995823792,1.16942992576303,996
"bias",1,2,"Fusion",-0.0240215095058648,0.209072950600771,0.00661146721030305,-0.432618992195679,0.388450142604928,1000
"bias",1,2,"deepAFT-RCT-S",-0.164339562015666,0.191325790968145,0.00605025274592609,-0.534214145341046,0.172253365212041,1000
"bias",1,2,"deepAFT-RCT-T",-0.24620589942661,0.294945391228853,0.00932699221652624,-0.821321599925414,0.319925477727557,1000
