"method","population","lambda_d","lambda_u","rmse","bias","coverage","width","postvar","bias_var"
"deepAFT-Pooled-S","RCT",2,1,1.10736202658729,0.087507201134207,0.449566666666667,1.03231070643067,0.130606212042367,0.0400463362325484
"deepAFT-Pooled-T","RCT",2,1,1.4777661595309,0.0429891978901374,0.991413333333333,5.19552494331896,5.19550822835548,3.10594982204593
"Fusion","RCT",2,2,0.67026656673923,-0.00629527445063231,0.97174,3.01721452984776,0.597175180020768,0.0444007289300519
"deepAFT-RCT-S","RCT",2,2,1.11163607110525,-0.192586732480228,0.36798,0.919424447766345,0.0643035749444997,0.0374835886371325
"deepAFT-RCT-T","RCT",2,2,1.20565820637005,-0.24139290302071,0.927166666666667,3.67251454597599,47.1862790426267,0.107317202120116
"deepAFT-Pooled-S","RCT",2,2,1.15965013079956,0.309939294276856,0.456286666666667,1.13439522306674,0.143947822513694,0.0458861270929238
"deepAFT-Pooled-T","RCT",2,2,1.50275073675644,0.209186603401195,0.99014,5.31733181401294,5.24744108859303,3.87540995835612
"Fusion","RWD",0,0,0.681351427062976,-0.00801788334080958,0.957642857142857,2.70909280109765,0.480869638334643,0.0445853163565553
"deepAFT-RCT-S","RWD",0,0,1.11803381469578,-0.165388990085986,0.379076219076219,0.950237949542579,0.0686560829742641,0.0417435713579347
"deepAFT-RCT-T","RWD",0,0,1.25149815965284,-0.211040118649817,0.905977142857143,3.75535462825177,6.18198384671605,0.0817535766880402
"deepAFT-Pooled-S","RWD",0,0,1.08690013877781,-0.128673738600901,0.411222857142857,0.971138644222655,0.12066736374925,0.0394410681160051
"deepAFT-Pooled-T","RWD",0,0,1.2798128455625,0.00646006578989163,0.9931,4.74291980575474,3.96705521036849,1.57125456491916
"Fusion","RWD",0,1,0.680770455501108,-0.0305734513000876,0.959491428571429,2.75071439067403,0.495714608558042,0.0449480022472201
"deepAFT-RCT-S","RWD",0,1,1.11418940328144,-0.182110636616378,0.373091428571429,0.944950874118208,0.066890570424877,0.0378385743022332
"deepAFT-RCT-T","RWD",0,1,1.24399676364807,-0.231328370106903,0.90775264815345,3.71898928707782,1.11475406039599,0.0782290814936364
"deepAFT-Pooled-S","RWD",0,1,1.10284078977664,0.106437898546908,0.440314285714286,0.978628211341181,0.123829784170812,0.0533398371119994
"deepAFT-Pooled-T","RWD",0,1,1.36542757491327,0.143992557681475,0.990754285714286,4.75935887404585,3.72520578470467,2.52288354068454
"Fusion","RWD",0,2,0.686249108894697,-0.0266980305566356,0.961808571428571,2.83724541380343,0.527367508368294,0.0441358173696857
"deepAFT-RCT-S","RWD",0,2,1.11475178924423,-0.197347106089787,0.371457257601836,0.939048349178001,0.0657596081517827,0.0366740814154969
"deepAFT-RCT-T","RWD",0,2,1.26964877452629,-0.250437244923941,0.910848571428571,3.74914867398601,13.0562179725502,0.0835516141929712
"deepAFT-Pooled-S","RWD",0,2,1.16468524091253,0.362463641861836,0.450951428571429,1.10688991190508,0.146943275538252,0.0323514145009612
